Date,S01_EM_01_PM5560: Energy Active (Total) (Maximum) [kWh] {p170850_se01010301_00000200},S01_EM_01_PM5560: Energy Active (Total) (Adjusted) (Delta) [kWh] {p170850_se01010301_00000200_ea_mapped},S01_EM_02_PM5560: Energy Active (Total) (Maximum) [kWh] {p170850_se01010401_00000200},S01_EM_02_PM5560: Energy Active (Total) (Adjusted) (Delta) [kWh] {p170850_se01010401_00000200_ea_mapped},Janitza UMG511: AC Active Power L1-L3 (Mean) [kW] {p170850_janitza0065001_004a5291},Janitza UMG511: AC Apparent Power L1-L3 (Mean) [kVA] {p170850_janitza0065001_004a5a91},Power Plant: Radiation Yield (Delta) [Wh/m²] {p170850_plant_r_elife},Power Plant: Temperature: Module (Average) [°C] (Mean) [°C] {p170850_plant_Tm},Power Plant: Temperature: Ambient (Average) [°C] (Mean) [°C] {p170850_plant_Ta},,,,
,,,,,,,,,,,,,
1/10/2020 0:00,628073,524,2505160,2180,728.69,830.62,4189,36.33,28.62,,524,2180,2704
,,,,,,,,,,,,,
2/09/2020 0:00,628612,539,2507270,2110,761.18,869.29,4280.5,36.24,29.57,,539,2110,2649
,,,,,,,,,,,,,
3/09/2020 0:00,629341,729,2510160,2890,734.7,865.95,6036.5,37.03,30.28,,729,2890,3619
,,,,,,,,,,,,,
4/09/2020 0:00,629370,29,2510270,110,240.61,303.64,5636.5,37.49,29.73,,29,110,139
,,,,,,,,,,,,,
5/09/2020 0:00,629376,6,2510300,30,24.6,58.05,6394.5,37.46,30.16,,6,30,36
,,,,,,,,,,,,,
6/09/2020 0:00,629383,7,2510330,30,23.21,56.83,6855.5,37.78,30.3,,7,30,37
,,,,,,,,,,,,,
7/09/2020 0:00,629390,7,2510360,30,24.44,58.34,5815.5,37.23,30.27,,7,30,37
,,,,,,,,,,,,,
8/09/2020 0:00,630143,753,2513350,2990,506.9,652.03,6220.5,36.66,31.2,,753,2990,3743
,,,,,,,,,,,,,
9/09/2020 0:00,630868,725,2516280,2930,741.12,907.67,5976,36.54,30.47,,725,2930,3655
,,,,,,,,,,,,,
10/09/2020 0:00,631584,716,2519160,2880,773.81,942.58,5976,36.92,31.49,,716,2880,3596
,,,,,,,,,,,,,
11/09/2020 0:00,632425,841,2522480,3320,738.1,909.92,6957,36.71,30.88,,841,3320,4161
,,,,,,,,,,,,,
12/09/2020 0:00,632539,114,2522900,420,277.43,336.69,5991,36.92,30.79,,114,420,534
,,,,,,,,,,,,,
13/09/2020 0:00,632619,80,2523220,320,36.21,62.78,3294.5,35.63,29.19,,80,320,400
,,,,,,,,,,,,,
14/09/2020 0:00,633292,673,2525870,2650,526.05,654.01,5419,36.5,30.65,,673,2650,3323
,,,,,,,,,,,,,
15/09/2020 0:00,634047,755,2528850,2980,710.6,876.71,6234,36.33,29.81,,755,2980,3735
,,,,,,,,,,,,,
16/09/2020 0:00,634646,599,2531290,2440,768.44,930.61,4921,36.44,30.54,,599,2440,3039
,,,,,,,,,,,,,
17/09/2020 0:00,635391,745,2534290,3000,763.35,930.39,6220.5,36.74,31.34,,745,3000,3745
,,,,,,,,,,,,,
18/09/2020 0:00,635694,303,2535540,1250,806.34,947.89,2303.5,35.16,29.63,,303,1250,1553
,,,,,,,,,,,,,
19/09/2020 0:00,635972,278,2536650,1110,325.52,390.13,2429.5,34.95,27.8,,278,1110,1388
,,,,,,,,,,,,,
20/09/2020 0:00,636127,155,2537280,630,175.4,196.8,1161.5,34.96,27.54,,155,630,785
,,,,,,,,,,,,,
21/09/2020 0:00,636763,636,2539850,2570,526.62,654.84,5346.5,36.69,29.44,,636,2570,3206
,,,,,,,,,,,,,
22/09/2020 0:00,637372,609,2542300,2450,682.93,834.48,5082.5,36.38,29.88,,609,2450,3059
,,,,,,,,,,,,,
23/09/2020 0:00,637822,450,2544110,1810,696.55,836.24,3617.5,35.9,29.58,,450,1810,2260
,,,,,,,,,,,,,
24/09/2020 0:00,638563,741,2547090,2980,629.76,786.52,6146.5,36.46,28.76,,741,2980,3721
,,,,,,,,,,,,,
25/09/2020 0:00,639381,818,2550430,3340,616.77,777.52,6847,37.13,30.42,,818,3340,4158
,,,,,,,,,,,,,
26/09/2020 0:00,639461,80,2550720,290,209.38,261.22,7079,37.72,30.9,,80,290,370
,,,,,,,,,,,,,
27/09/2020 0:00,639463,21.71,2550730,85.08,33.61,65.77,899.08,35.07,29.65,,21.71,85.08,106.79
,,,,,,,,,,,,,
28/09/2020 0:00,639780,297.29,2551990,1184.92,783.69,877.85,2433.92,30.81,28.71,,297.29,1184.92,1482.21
,,,,,,,,,,,,,
29/09/2020 0:00,640134,666.29,2553340,2625.92,723.54,829.99,5498.54,30.21,27.42,,666.29,2625.92,3292.21
,,,,,,,,,,,,,
30/09/2020 0:00,641198,751.71,2557650,3034.08,765.27,844.27,6361.96,36.32,30.95,,751.71,3034.08,3785.79
,,,,,,,,,,,,,
31/10/2020 0:00,641198,751.71,2557650,3034.08,765.27,844.27,6361.96,36.32,30.95,,751.71,3034.08,3785.79
